name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,return_on_invested_capital,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Mefcom Capital,531176.0,,Finance & Investments,16.38,28.9,74.86,41.14,1.7,43.29,5.39,3.04,8.29,9.19,6.57,0.67,0.14,15.83,8.0,3.62,96.98,0.57,19.13,1.36,1.42,4.57,17.61,76.91,46.05,0.7941176470588235,0.3296537882589062,1.0,0.7080895008605852,0.7586750788643533,0.7284013206555924
Sumedha Fiscal,530419.0,,Finance & Investments,71.55,6.49,57.1,15.56,9.58,12.96,77.2,0.93,138.36,6.92,19.93,0.7,0.0,5.53,8.0,7.32,68.54,11.02,19.13,8.24,8.88,0.8,124.31,49.14,16.98,1.0,1.0,0.7067436584862858,0.2678141135972461,0.22712933753943218,0.6256746048489071
Danlaw Tech.,532329.0,,Electronics - Components,974.75,24.96,474.77,40.21,45.64,47.46,135.2,7.21,344.65,42.35,2.37,0.18,0.56,8.56,9.0,10.54,96.49,39.05,49.26,1.48,60.27,0.49,544.73,485.9,25.37,0.17647058823529405,0.11891620672353237,0.9949474118374921,0.6920826161790017,0.8317560462670872,0.6037584150285914
Arrow Greentech,516064.0,ARROWGREEN,Plastics Products,522.05,12.78,787.67,35.32,19.56,26.07,108.83,4.8,316.7,23.9,10.71,0.43,0.01,11.62,8.0,19.75,41.52,40.96,26.66,8.97,79.16,1.51,494.29,756.46,27.74,0.9852941176470589,0.5373808329152032,0.4281295112394308,0.6079173838209982,0.4568874868559411,0.575263636175345
R S Software (I),517447.0,RSSOFTWARE,Computers - Software - Medium / Small,63.97,9.26,165.24,44.35,7.04,45.68,23.41,2.73,60.69,32.8,4.87,0.44,0.01,7.02,8.0,30.77,18.86,6.99,27.72,4.87,68.6,2.58,36.19,149.02,41.45,0.9852941176470589,0.24435524335173106,0.1944730872344813,0.7633390705679862,0.8005608131791097,0.5580634148754446
Unique Organics,530997.0,,Trading,138.0,7.8,82.11,38.07,10.65,32.63,50.39,2.74,141.62,9.12,4.01,0.14,0.07,10.63,8.0,3.52,43.41,17.69,28.8,3.5,17.76,0.6,378.73,68.4,28.7,0.8970588235294118,0.2012042147516307,0.447618065580532,0.655249569707401,0.5718541885734315,0.5321249345310375
Kothari Petroche,,KOTHARIPET,Petrochemicals,141.55,13.02,832.97,41.32,10.84,28.79,46.92,3.02,106.91,12.32,3.94,0.33,0.01,8.25,8.0,10.47,38.54,10.83,17.82,3.35,35.51,5.88,271.05,813.1,35.06,0.9852941176470589,0.19769192172604114,0.3974015260878531,0.7111876075731497,0.5045566070802664,0.5298317264449136
Dhanalaxmi Roto,521216.0,,Trading,210.0,9.74,81.9,38.4,33.51,28.43,131.55,1.6,252.63,5.44,2.69,0.24,0.11,6.29,8.0,6.17,39.23,21.56,28.8,2.63,51.45,0.39,288.1,55.19,29.06,0.8382352941176471,0.1349724034119418,0.40451639513301707,0.6609294320137693,0.49824745881528215,0.48569425174909997
Action Const.Eq.,532762.0,ACE,Engineering,1151.25,35.23,13709.45,42.3,27.56,30.58,116.19,9.91,292.27,27.53,1.33,0.83,0.08,12.67,8.0,11.28,33.41,32.67,31.58,0.76,20.58,11.91,766.47,13759.26,61.53,0.8823529411764706,0.06673356748620171,0.34450402144772113,0.7280550774526677,0.5359270942867157,0.4846220943835179
Chandni Machines,542627.0,,Trading,46.4,11.18,14.98,28.91,5.36,21.8,31.08,1.49,53.88,8.56,1.35,0.14,0.01,10.41,8.0,1.04,56.67,4.15,28.8,1.15,7.19,0.32,152.72,6.65,30.65,0.9852941176470589,0.0677370797792273,0.5843472881006393,0.4975903614457831,0.3820539782684893,0.48335722357091865
Hawkins Cookers,508486.0,,Domestic Appliances,7363.35,34.04,3895.21,44.52,207.72,36.04,622.38,11.83,1740.88,34.59,2.43,2.25,0.08,16.36,8.0,10.72,10.05,216.42,61.7,1.57,17.0,0.53,2647.82,3759.13,32.62,0.8823529411764706,0.12192674360260915,0.10362961435347495,0.7662650602409639,0.6316158429723098,0.4622218741280159
Mah. Seamless,500265.0,MAHSEAMLES,Steel - Large,661.4,11.77,8862.21,22.92,71.0,18.12,443.78,1.49,749.48,9.64,8.33,0.45,0.0,5.1,8.0,17.62,32.78,56.26,16.51,5.54,35.01,13.4,613.58,8803.14,23.77,1.0,0.4179628700451581,0.33800783666735407,0.3944922547332186,0.3175604626708728,0.4605050766566884
Indrapr.Medical,532150.0,INDRAMEDCO,Healthcare,315.45,19.13,2891.82,38.35,13.52,29.12,57.21,5.51,145.68,13.44,2.07,0.57,0.06,9.49,8.0,10.03,26.6,16.49,53.78,2.03,17.13,9.17,242.79,2615.21,26.03,0.9117647058823529,0.10386352232814851,0.27428335739327697,0.6600688468158348,0.5103399929898352,0.4601900176574359
Akzo Nobel,500710.0,AKZOINDIA,Paints / Varnishes,3124.5,33.1,14229.07,42.29,93.7,32.33,312.91,9.99,815.24,35.25,1.39,1.93,0.05,9.95,8.0,10.79,17.83,94.4,33.56,0.92,53.01,4.55,955.69,13670.77,42.07,0.9264705882352942,0.06974410436527848,0.1838523406888018,0.7278829604130809,0.5665965650192779,0.457778399367022
Axtel Industries,523850.0,,Engineering,461.8,40.15,746.03,40.73,19.89,29.44,75.95,6.08,140.2,26.18,2.81,2.3,0.0,9.82,8.0,13.79,13.34,11.5,32.36,2.03,81.33,1.62,352.5,734.37,42.89,1.0,0.14099347717009533,0.13755413487316973,0.7010327022375215,0.5159481247809323,0.45598339455600223
Loyal Equipments,539227.0,,Engineering,196.2,20.22,211.7,28.34,6.95,27.22,31.15,6.3,84.23,20.96,2.37,2.12,0.09,10.27,8.0,10.04,40.26,10.12,32.36,0.93,66.53,1.08,142.2,210.94,19.27,0.8676470588235294,0.11891620672353237,0.4151371416786966,0.4877796901893287,0.4770417104801962,0.4506788657218151
Sharda Motor,535602.0,SHARDAMOTR,Auto Ancillaries,1463.05,13.78,4349.89,39.32,99.19,30.0,309.99,4.72,860.57,13.94,1.54,0.52,0.03,8.06,8.0,9.65,17.39,106.18,24.58,1.22,29.51,2.97,1959.33,4194.33,80.2,0.9558823529411765,0.0772704465629704,0.17931532274695813,0.676764199655766,0.5257623554153522,0.44417058395473374
Auto.Corp.of Goa,505036.0,,Auto Ancillaries,1232.2,18.44,750.24,18.67,63.02,18.6,386.59,3.19,762.34,25.17,2.56,1.76,0.21,7.05,9.0,6.57,71.57,66.81,24.58,2.1,47.85,0.61,773.19,760.53,13.52,0.6911764705882353,0.12844957350727546,0.7379872138585274,0.32134251290877797,0.32597266035751843,0.44332622340758154
NILE,530129.0,,Mining / Minerals / Metals,1414.95,11.76,424.49,19.47,105.27,14.67,829.14,1.71,1498.03,8.18,13.42,0.58,0.02,8.74,8.0,3.77,16.03,120.29,28.41,7.15,25.21,0.3,1210.85,424.71,15.11,0.9705882352941176,0.6733567486201706,0.16529181274489585,0.33511187607573145,0.25709779179810727,0.4400244717791435
Kewal Kir.Cloth.,532732.0,KKCL,Textiles - Products,469.1,19.21,2890.84,31.03,25.07,25.14,128.17,3.66,265.37,24.31,2.22,1.38,0.19,6.54,8.0,17.88,41.65,24.42,30.64,1.77,86.01,6.16,352.24,2905.23,31.43,0.7205882352941176,0.11138986452584046,0.4294699938131573,0.53407917383821,0.4405888538380652,0.43266731218783017
Nitta Gelatin,506532.0,,Chemicals,677.6,8.47,615.26,35.19,91.02,27.05,416.04,1.63,898.26,11.04,4.78,0.09,0.05,5.85,8.0,15.79,10.37,86.2,28.35,3.46,58.45,0.91,1378.7,536.84,26.06,0.9264705882352942,0.23983943803311591,0.10692926376572488,0.6056798623063683,0.47406239046617593,0.42961924233785737
Andhra Petrochem,500012.0,,Chemicals,51.41,10.64,436.84,15.36,7.46,11.94,64.83,0.79,83.96,8.84,18.41,-5.51,0.14,4.27,8.0,8.03,11.69,4.83,28.35,15.5,1.51,8.5,153.94,195.62,12.49,0.7941176470588235,0.9237330657300552,0.12054031759125591,0.2643717728055077,0.20925341745531018,0.42872437765481214
Force Motors,500033.0,FORCEMOT,Automobiles - LCVs / HCVs,7239.35,18.84,9538.76,23.82,294.54,18.83,1883.4,3.84,4035.21,18.41,1.35,0.85,0.09,7.06,9.0,5.56,52.07,384.24,18.84,0.49,5.43,1.32,6509.91,9486.96,16.6,0.8676470588235294,0.0677370797792273,0.5369148277995462,0.4099827882960413,0.3300035050823694,0.4259204404049436
Vikram Thermo,530477.0,,Chemicals,175.25,17.17,549.55,30.67,8.08,24.89,33.49,5.23,46.37,14.24,3.86,0.41,0.06,10.52,8.0,20.01,19.75,2.85,28.35,3.35,113.51,3.14,90.64,553.69,25.43,0.9117647058823529,0.19367787255393878,0.2036502371623015,0.5278829604130809,0.4362075008762706,0.41923093194158634
Pee Cee Cosma,524136.0,,Detergents / Intermediates,578.45,13.15,153.29,34.67,39.45,29.55,174.96,3.31,416.48,10.96,2.16,0.44,0.1,8.8,8.0,7.81,17.56,44.06,13.15,1.08,1.01,0.26,529.69,155.34,40.14,0.8529411764705882,0.10837932764676368,0.1810682614972159,0.5967297762478485,0.517875920084122,0.41780524664063906
Vadilal Inds.,519156.0,VADILALIND,Food - Processing - Indian,4714.55,21.73,3389.76,27.14,203.05,30.97,915.18,5.15,2113.81,17.59,2.99,0.64,0.24,9.01,8.0,12.93,34.42,216.99,29.95,1.96,31.39,0.72,2124.53,3454.1,21.53,0.6470588235294118,0.15002508780732565,0.35491853990513506,0.46712564543889845,0.5427620049071152,0.4177710061363634
Elecon Engg.Co,505700.0,ELECON,Engineering,391.1,23.58,8776.28,31.32,15.85,24.47,78.18,5.0,170.83,18.35,3.03,0.43,0.07,9.03,9.0,18.21,22.87,16.59,31.58,2.42,83.85,22.44,268.42,8659.15,25.8,0.8970588235294118,0.1520321123933768,0.2358218189317385,0.5390705679862307,0.42884682790045564,0.41750417991835903
Ratnamani Metals,520111.0,RATNAMANI,Steel - Medium / Small,2475.1,32.86,17348.47,27.72,88.85,21.63,469.8,5.27,893.18,32.73,3.57,1.67,0.08,9.86,8.0,12.33,30.09,75.47,22.58,1.5,67.92,7.01,1427.74,17555.74,20.15,0.8823529411764706,0.17912694430506773,0.31027015879562797,0.4771084337349397,0.37907465825446895,0.41698248813427286
Kriti Nutrients,533210.0,KRITINUT,Solvent Extraction,90.29,11.08,452.38,34.28,9.04,29.31,39.67,2.28,85.29,11.99,5.52,0.51,0.04,8.9,8.0,6.61,-0.27,8.15,20.54,3.24,11.03,5.01,101.34,440.97,32.02,0.9411764705882353,0.2769693928750627,-0.002784079191585894,0.5900172117039587,0.5136698212407991,0.41661173595430295
Saint-Gob. Sekur,515043.0,,Glass & Glass Products,103.85,28.44,946.18,20.36,3.43,14.46,21.55,4.82,42.08,33.84,8.0,1.45,0.0,10.42,8.0,13.67,24.15,3.65,28.44,7.15,35.06,9.11,41.85,939.23,69.28,1.0,0.40140491721023586,0.24902041658073829,0.3504302925989673,0.25341745531019977,0.4133056371690652
Premier Polyfilm,514354.0,PREMIERPOL,Plastics Products,61.42,23.73,643.33,29.23,1.97,24.46,10.17,6.04,24.34,15.85,2.56,0.66,0.0,11.07,9.0,7.94,19.86,2.59,26.66,1.57,49.68,10.47,23.38,640.74,22.31,1.0,0.12844957350727546,0.2047844916477624,0.5030981067125645,0.4286715737819839,0.41323997371230536
Ecoplast,526703.0,,Packaging,593.2,19.36,177.96,31.98,30.57,24.21,150.7,3.94,322.29,11.81,3.53,0.74,0.02,9.76,9.0,8.06,14.35,30.63,23.41,1.77,34.38,0.3,234.48,176.25,22.39,0.9705882352941176,0.17711991971901656,0.14796865333058362,0.5504302925989673,0.42429022082018925,0.41294848525439815
Bayer Crop Sci.,506285.0,BAYERCROP,Pesticides / Agrochemicals - Multinational,4737.95,40.89,21293.34,33.91,164.77,26.7,685.82,6.91,1337.09,38.31,2.22,2.4,0.01,9.27,9.0,14.55,6.19,115.86,40.89,1.57,68.67,4.49,2295.03,20409.44,28.12,0.9852941176470589,0.11138986452584046,0.06382759331820995,0.5836488812392426,0.4679284963196635,0.39634446439356064
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,512.0,15.32,197475.27,32.25,54.0,57.06,145.07,3.53,332.19,15.33,1.75,0.17,0.67,4.87,8.0,41.37,24.29,33.81,28.38,1.51,84.65,385.69,406.04,229058.6,30.11,0.014705882352941235,0.08780732563973909,0.2504640131985976,0.555077452667814,1.0,0.39339884131410124
Gabriel India,505714.0,GABRIEL,Auto Ancillaries,509.6,34.77,7320.1,26.72,12.89,19.58,74.89,6.8,157.15,21.88,1.9,2.46,0.01,10.71,9.0,5.5,25.41,14.66,24.58,1.5,49.46,14.36,220.73,7284.96,22.91,0.9852941176470589,0.09533366783743101,0.26201278614147244,0.4598967297762478,0.3431475639677532,0.3929729064987134
Godawari Power,532734.0,GPIL,Steel - Large,172.83,14.3,11561.89,29.19,13.76,21.89,67.67,2.55,135.0,5.39,3.76,0.48,0.01,6.68,8.0,16.89,11.3,11.97,16.51,2.3,14.21,66.9,177.16,10823.55,23.71,0.9852941176470589,0.18866031108881082,0.11651886987007631,0.5024096385542168,0.38363126533473535,0.3918640781101305
Grauer & Weil,505710.0,GRAUWEIL,Chemicals,89.38,25.23,4052.59,26.06,3.23,19.62,19.18,4.66,39.1,18.82,3.13,1.53,0.01,8.56,9.0,13.63,20.84,3.54,28.35,2.6,63.47,45.34,49.31,3606.64,18.97,0.9852941176470589,0.15704967385850477,0.2148896679727779,0.44853700516351114,0.3438485804416404,0.39140358653298457
Supreme Inds.,509930.0,SUPREMEIND,Plastics Products,3343.75,41.57,42474.61,28.56,84.21,21.73,417.71,8.01,869.47,36.14,2.54,1.99,0.01,13.72,8.0,10.19,16.83,80.44,26.66,1.21,18.42,12.7,1742.75,41865.65,24.04,0.9852941176470589,0.12744606121424987,0.1735409362755207,0.4915662650602409,0.3808271994391868,0.3911472568586745
Styrenix Perfor.,506222.0,STYRENIX,Petrochemicals,2779.05,21.41,4888.35,31.4,98.47,23.96,457.57,6.07,1156.23,15.81,2.51,0.28,0.03,11.09,8.0,7.75,10.85,129.85,17.82,1.33,48.76,1.76,1361.54,4869.38,25.47,0.9558823529411765,0.12594079277471149,0.1118787378840998,0.540447504302926,0.41990886785839465,0.3886114703994079
Nitiraj Engineer,,NITIRAJ,Electronics - Components,362.45,30.21,371.55,21.0,11.75,16.14,74.65,4.86,141.96,27.02,4.75,1.94,0.0,10.36,9.0,11.83,23.44,12.0,49.26,2.31,46.48,1.03,124.73,366.65,19.78,1.0,0.23833416959357753,0.2416993194473087,0.3614457831325301,0.28286014721345953,0.38695284984974065
